레시피명,전처리된 식재료
코코넛밀크카레,카레 소금 돼지고기 양파 당근 물 감자 버터 두부 우유 코코넛
소고기리조또롤,강황 소고기 소금 양파 파프리카 버터 쌀 된장 마늘
둥지튀김,식초 소금 설탕 물 레몬 식용유 튀김 생강 뽕잎 닭고기 달걀 마늘 국수 연유
새우와스테이크,소금 소고기 새우 양파 설탕 당근 와인 토마토 로즈마리 버터 마늘 대파
함초삼겹,소금 쌈장 양파 설탕 당근 버터 부추 삼겹살
햄버거스테이크,식초 소고기 돼지고기 로즈마리 양파 설탕 파프리카 마늘 빵가루 플레인요거트
유자삼치구이,녹말 소금 레몬 삼치 생강 식용유
냉토마토파스타,소금 양파 설탕 당근 토마토 방울토마토 마늘 월계수
닭고기또띠아,우유 식초 양파 사과 머스터드 오이 파프리카 닭고기 느타리버섯 아몬드
닭고기스테이크,우유 소금 토마토 생강 오이 닭고기 정종 두부
오징어순대,소금 양파 당근 레몬 생강 마늘 정종 대파 두부 부추
연어차우더스프,피망 양파 당근 감자 버터 연어 밀가루 월계수
시금치브로컬리 파스타,소금 새우 브로콜리 시금치 스파게티면 대하
야채찜을 곁들인 광어스테이크,가지 당근 청주 레몬 파프리카 콜리플라워 간장 광어
연근부각,식초 연근 계피 천일염 식용유
오이냉국을 곁들인 오색쌈밥,소금 돼지고기 양파 도라지 오이 안심 고추 참기름 쌀 달걀 쌀 고추장 미나리 고춧가루
카레탄두리치킨과 닭가슴살냉채,카레 양파 당근 오곡 인삼 머스터드 오이 파프리카 닭고기 대추
컬리플라워소스 광어스테이크,우유 소금 가지 양파 시금치 당근 콜리플라워 감자 광어
콜라비오미자 물김치,쪽파 오미자 피망 양파 새우 다시마 소금 파프리카 무화과
크림소스치킨롤,소금 새우 치즈 버터 닭고기 마늘 대하
표고버섯 감자찜,녹말 양파 당근 표고버섯 감자 고추 고수
해물애호박 전병말이,식초 소금 새우 오징어 대추 설탕 깻잎 밀가루 간장
찬밥이용닭죽,닭다리 소금 양파 당근 물 감자 부추
감자느타리버섯국,다시마 소금 파 물 감자 고추 마늘 두부 멸치 느타리버섯
민어매운탕,고춧가루 간 민어 소금 양파 후추 물 양지 참기름 고추 마늘 대파 쑥갓 쇠고기 간장
아몬드치킨볼,닭다리 양파 브로콜리 닭 버터 마늘 아몬드
양배추롤,간장 다시마 부채살 새우 참기름 고추 양배추 현미 달래 쇠고기
생선베이컨말이,동태 피망 시금치 베이컨 파프리카 버터 새싹
콩고기샐러드,아보카도 식초 로즈마리 가지 바나나 설탕 콩고기 방울토마토 연근 물 오일 허브 드레싱 간장
퀴노아닭가슴살샐러드,요구르트 피망 가지 치즈 양파 토마토 어린잎채소 닭 감자 수박 플레인요거트
